game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
LEI X EVE 2016-12-26;265 (79%);142 (66%);407 (74%);117 (66%);149 (69%);266 (68%);18;14;32;8;13;21;66%;49%;58%;34%;51%;42%;;;;;;;;;;;;;0;0;0;1;1;2;2;2;4;2;1;3;;;;;;;32;34;66;24;33;57;7;14;1;1;2;0;1;1;;;;;;;1;2;3;1;2;3;335;214;549;177;216;393;;;;;;;1;4;5;0;1;1;2;3;5;1;2;3;0;3;3;1;1;2;1;2;3;3;3;6;2;6;8;3;4;7;0;0;0;0;3;3;2;2016-12-26;-10;5;5;36;14;1;4;27;14;7;3;-8;-2;-3;-3;17;4;-9;4;4;3;-5;-8.0;-10;-16;-20;-19;-17;-16.0;-4;-6;-8;-4;-12;-8;-12;-12;-12;-72;-6;-30.0;-2;1;1;1;-10;36;49;-77;-30;-19;-36;-25;-11;-13;-9;-8;-6;4;24;17;9;9;7;49;31;11;-7;-7;-7;-7;6;1;1;1;1;-20;-15;-11;-9;-6;-4;-21;-12;-12;-7;-75;-48.0;-29.0;-4;-22.0;-110.0;0;13:00:00;-1;EVE;LEI
MUN X SUN 2016-12-26;139 (77%);137 (74%);276 (76%);313 (90%);224 (87%);537 (88%);2;2;4;4;1;5;34%;43%;38%;66%;57%;62%;;;;;;;;;;;;;3;0;3;2;4;6;2;3;5;3;2;5;1;0;1;0;0;0;12;15;27;12;20;32;9;6;3;3;6;3;0;3;0;0;0;1;0;1;0;2;2;0;4;4;180;185;365;349;258;607;;;;;;;4;0;4;6;7;13;2;0;2;6;5;11;3;1;4;4;5;9;4;1;5;6;7;13;8;1;9;12;14;26;0;2;2;1;0;1;1;2016-12-26;5;35;18;11;7;-20;-5;5;8;37;20;7;11;-11;-43;-23;-8;6;12;36;44;46;9.0;27;-65;-61;-45;-41;-62.0;-34;38;30;24;10;68;45;88;55;37;5;85.0;12;51;29;45;11;48;64;61;37;26;15;8;4;3;3;51;3;13;12;12;41;29;1;-6;5;10;31;-4;17;-12;-22;-11;-8;-8;-6;-7;5;25;-1;-1;40;58;39;22;13;49;61.0;93.0;47;3.0;-25.0;3;13:00:00;1;SUN;MUN
SWA X WES 2016-12-26;120 (71%);198 (83%);318 (78%);232 (81%);195 (86%);427 (83%);13;18;31;3;13;16;38%;51%;44%;62%;49%;56%;;;;;;;;;;;;;0;3;3;0;1;1;0;4;4;3;5;8;;;;;;;29;40;69;22;28;50;12;10;1;5;6;2;1;3;;;;;;;0;1;1;0;2;2;169;239;408;287;228;515;;;;;;;5;6;11;3;7;10;3;1;4;3;3;6;3;4;7;1;6;7;1;2;3;1;3;4;6;8;14;4;10;14;;;;;;;4;2016-12-26;-10;3;30;14;11;-72;-32;-15;-10;-8;5;-7;-10;-24;-39;-57;-27;-9;-7;4;6;11;-6.0;9;4;1;3;4;5.0;6;32;21;15;-5;29;17;8;65;20;17;30.0;-42;-23;-17;-9;-1;-63;-77;-49;-32;36;19;60;32;10;7;2;72;58;38;-47;-10;24;3;-3;35;19;28;14;97;57;30;16;7;-4;3;-1;-101;15;-100;-54;-33;-20;40;23;52;32;20.0;80.0;8;2.0;-80.0;1;13:00:00;-1;WES;SWA
HUL X MCI 2016-12-26;341 (86%);249 (87%);590 (86%);96 (65%);132 (76%);228 (71%);8;7;15;7;7;14;73%;62%;68%;27%;38%;32%;;;;;;;;;;;;;3;1;4;1;1;2;5;2;7;0;4;4;;;;;;;22;23;45;16;30;46;14;11;1;1;2;3;1;4;0;1;1;0;0;0;0;1;1;1;1;2;396;287;683;147;173;320;;;;;;;2;7;9;2;4;6;2;4;6;2;3;5;3;3;6;1;2;3;6;2;8;2;2;4;8;8;16;4;6;10;0;0;0;0;1;1;3;2016-12-26;-10;-41;-24;-8;6;5;10;1;21;13;3;-6;-5;-45;40;47;21;5;-8;-11;-27;-16;-10.0;-35;-27;-23;-20;-24;-19.0;-18;-57;-35;-52;-13;-53;-53;-56;-35;-16;-9;0.0;-2;4;32;9;-15;6;49;52;31;22;16;4;-8;-35;-27;-16;29;11;-7;2;1;-2;65;68;11;7;-77;3;-4;-6;-100;-71;-43;-41;-15;-60;-75;-51;-44;-24;-20;-18;-43;-36;-26;-21;-17.0;-12.0;-35;-7.0;40.0;0;15:15:00;-1;MCI;HUL
LIV X STO 2016-12-27;94 (67%);162 (77%);256 (73%);285 (84%);230 (81%);515 (82%);20;12;32;7;6;13;30%;43%;37%;70%;57%;63%;;;;;;;;;;;;;2;0;2;5;3;8;1;1;2;3;5;8;;;;;;;40;34;74;23;31;54;6;9;2;0;2;1;0;1;;;;;;;2;0;2;0;0;0;141;211;352;341;284;625;;;;;;;4;0;4;7;5;12;1;1;2;4;2;6;2;0;2;5;1;6;1;1;2;7;2;9;5;1;6;14;6;20;1;0;1;0;0;0;1;2016-12-27;10;42;28;6;-91;-55;-27;-35;-9;2;8;11;-19;-5;7;8;37;78;51;50;24;13;11.0;-3;2;5;12;11;11.0;90;62;41;100;17;65;38;28;28;12;82;25.0;1;1;3;4;18;29;19;18;13;5;-1;-21;-12;22;14;14;14;51;56;29;19;11;4;6;5;3;61;-4;-4;77;44;27;37;19;6;5;-29;39;-9;8;8;12;7;1;-8;-10;25.0;13.0;66;3.0;25.0;4;15:15:00;1;STO;LIV
SOU X TOT 2016-12-28;279 (85%);242 (83%);521 (84%);112 (70%);109 (69%);221 (69%);4;6;10;8;6;14;67%;65%;66%;33%;35%;34%;;;;;;;;;;;;;3;2;5;2;2;4;6;4;10;1;1;2;;;;;;;25;29;54;34;28;62;16;7;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;2;2;329;293;622;161;158;319;0;0;0;0;1;1;3;7;10;4;1;5;4;3;7;2;1;3;1;4;5;1;1;2;5;2;7;1;3;4;8;9;17;5;4;9;1;3;4;0;1;1;4;2016-12-28;10;8;3;2;-27;-18;-10;-1;4;42;-42;15;-45;-28;-12;-6;1;3;-6;-7;-10;-11;88.0;-32;-24;-40;-19;24;10.0;-24;-8;-10;-48;51;-35;-56;-59;-65;-42;-8;-5.0;-12;-5;-2;-2;29;-2;-7;-65;-80;-14;-5;8;-20;-9;-37;12;-47;-23;-17;11;-5;-5;-3;-6;-34;-25;-29;-19;-16;-76;-45;-33;-51;-47;-25;-17;-11;-20;-6;-5;-5;43;21;10;-79;-45;-100.0;-67.0;29;-43.0;0.0;1;17:45:00;-1;TOT;SOU
HUL X EVE 2016-12-30;208 (78%);217 (83%);425 (81%);137 (72%);152 (71%);289 (71%);11;8;19;10;13;23;58%;56%;57%;42%;44%;43%;;;;;;;;;;;;;3;3;6;3;1;4;3;2;5;2;3;5;;;;;;;34;31;65;30;37;67;13;10;1;1;2;2;4;6;2;1;3;0;1;1;0;0;0;1;3;4;265;260;525;191;214;405;;;;;;;6;7;13;5;3;8;5;2;7;2;3;5;2;5;7;2;2;4;5;3;8;2;3;5;10;10;20;7;6;13;0;2;2;0;2;2;2;2016-12-30;-10;23;17;-23;-13;-50;-100;-61;-33;-18;-11;-2;-3;-4;-10;-5;-22;-17;-11;-32;-48;-30;4.0;45;10;2;8;-25;21.0;-8;18;6;8;27;1;-3;-4;-44;-23;-50;;-80;-46;-23;-12;24;-4;-70;-81;-83;-49;-29;-7;1;-25;51;16;23;19;27;9;-4;-4;112;59;37;19;100;13;22;9;7;6;5;13;-39;-22;-22;70;-33;-25;-16;-6;-5;-74;-41;-19;-7.0;30.0;43;19.0;-35.0;2;18:00:00;0;EVE;HUL
BUR X SUN 2016-12-31;103 (62%);211 (83%);314 (75%);131 (70%);102 (65%);233 (68%);12;6;18;4;7;11;47%;61%;55%;53%;39%;45%;;;;;;;;;;;;;1;2;3;1;1;2;0;2;2;0;6;6;;;;;;;28;25;53;22;25;47;9;10;0;2;2;0;2;2;;;;;;;1;1;2;2;1;3;165;253;418;188;156;344;;;;;;;1;4;5;3;8;11;1;4;5;6;2;8;0;3;3;1;5;6;1;5;6;5;0;5;2;9;11;8;8;16;1;0;1;1;0;1;1;2016-12-31;-10;-5;6;11;11;11;12;41;27;14;33;-9;49;28;18;13;2;2;2;8;11;5;-39.0;-2;-2;73;46;31;52.0;29;10;10;40;-23;18;8;3;9;1;4;-5.0;4;6;7;-32;-18;-18;-13;78;38;93;58;87;52;37;51;-11;25;4;-32;-18;-14;-9;-1;75;43;24;25;38;-31;-45;-61;-40;-9;-6;2;40;16;8;6;26;33;14;-43;-25;19;-6;-9.0;-39.0;6;-7.0;30.0;4;13:00:00;1;SUN;BUR
CHE X STO 2016-12-31;136 (74%);106 (76%);242 (75%);183 (82%);218 (87%);401 (85%);12;10;22;6;5;11;46%;36%;41%;54%;64%;59%;;;;;;;;;;;;;0;0;0;2;1;3;2;1;3;5;3;8;0;0;0;0;1;1;30;24;54;15;28;43;10;12;3;0;3;0;0;0;;;;;;;1;1;2;0;2;2;183;139;322;222;251;473;;;;;;;2;2;4;4;6;10;3;0;3;2;6;8;0;2;2;4;3;7;1;0;1;4;4;8;3;2;5;8;10;18;0;2;2;1;2;3;2;2016-12-31;-4;3;3;-29;-16;-8;-3;2;3;64;29;-5;-30;28;38;60;39;32;-38;-66;-36;-15;-6.0;-10;-3;1;-1;25;88.0;92;55;33;28;-7;36;18;16;9;5;1;0.0;4;-32;-54;-3;-12;9;7;10;62;42;31;21;21;12;85;-2;48;32;22;16;38;-72;79;33;23;45;41;37;16;4;1;-1;-1;-21;38;21;15;24;17;15;4;5;26;53;75;53;34.0;22.0;17;4.0;50.0;4;13:00:00;1;STO;CHE
LEI X WES 2016-12-31;176 (76%);192 (77%);368 (77%);108 (65%);97 (66%);205 (66%);23;17;40;8;11;19;57%;64%;61%;43%;36%;39%;;;;;;;;;;;;;4;5;9;1;1;2;2;5;7;5;2;7;;;;;;;37;31;68;21;30;51;8;11;3;1;4;3;2;5;1;0;1;1;0;1;1;1;2;2;1;3;232;249;481;165;146;311;;;;;;;8;3;11;6;3;9;6;4;10;4;2;6;3;2;5;3;1;4;5;8;13;2;1;3;13;11;24;8;4;12;1;2;3;1;4;5;0;2016-12-31;-10;-10;-6;-33;-18;-33;-16;-1;4;12;27;6;42;100;55;28;11;1;-74;-45;-28;-18;71.0;-7;-4;-4;2;-10;-5.0;-32;-22;-12;-11;54;-25;-72;-41;-23;-37;-18;80.0;-2;-30;-22;-22;36;-21;-17;-7;-8;-8;-11;-33;-57;-41;-43;26;-25;-7;-1;1;-4;-4;-26;-19;-15;-57;14;-37;-29;-20;-5;-4;-50;-32;-22;-22;-26;45;-15;-17;-13;-10;-4;-1;1;-35;21.0;1.0;1;1.0;85.0;1;13:00:00;1;WES;LEI
MUN X MID 2016-12-31;138 (78%);103 (66%);241 (73%);286 (89%);246 (85%);532 (87%);4;6;10;6;15;21;36%;34%;35%;64%;66%;65%;;;;;;;;;;;;;3;0;3;5;3;8;2;0;2;7;5;12;1;0;1;0;0;0;22;26;48;26;37;63;14;9;3;7;10;0;1;1;0;0;0;2;0;2;0;0;0;1;4;5;176;156;332;321;289;610;;;;;;;2;1;3;12;12;24;3;1;4;7;5;12;0;2;2;3;9;12;4;2;6;3;5;8;6;3;9;15;17;32;0;1;1;0;1;1;1;2016-12-31;10;18;14;4;29;19;23;98;62;28;-27;11;6;25;15;14;15;35;25;16;25;20;57.0;55;37;27;40;29;24.0;30;43;51;77;4;36;21;11;2;-4;63;-30.0;5;7;8;29;-23;22;17;7;96;87;23;15;11;-3;7;-40;5;29;19;13;9;7;44;-39;-47;45;77;39;20;59;71;51;41;29;59;38;27;31;20;17;48;69;77;46;100;100;98.0;57.0;17;-39.0;10.0;2;13:00:00;1;MID;MUN
SOU X WBA 2016-12-31;63 (57%);112 (67%);175 (63%);237 (85%);238 (81%);475 (83%);7;9;16;11;13;24;29%;36%;33%;71%;64%;67%;;;;;;;;;;;;;0;1;1;1;1;2;2;1;3;3;5;8;;;;;;;24;33;57;38;35;73;17;13;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;110;168;278;279;293;572;0;0;0;0;1;1;1;2;3;3;2;5;1;2;3;5;2;7;1;2;3;1;0;1;1;3;4;4;1;5;2;5;7;7;3;10;1;2;3;1;2;3;2;2016-12-31;8;22;43;34;23;37;24;45;23;19;15;17;19;17;18;18;18;22;46;30;26;18;14.0;12;13;-20;-6;-8;-7.0;-2;8;7;5;18;4;1;98;-77;-9;2;0.0;27;18;13;9;16;7;-68;-11;-5;13;7;16;4;-25;-19;-40;-11;-5;-41;-21;-11;-10;13;-23;-2;8;-14;4;2;24;15;-14;-1;2;22;14;11;-3;8;6;4;59;41;26;16;31;16.0;10.0;-1;-14.0;20.0;1;13:00:00;-1;WBA;SOU
SWA X BOU 2016-12-31;268 (83%);215 (86%);483 (85%);171 (81%);199 (83%);370 (82%);8;9;17;7;12;19;60%;50%;55%;40%;50%;45%;;;;;;;;;;;;;0;0;0;0;4;4;2;1;3;0;4;4;0;3;3;0;0;0;31;26;57;19;30;49;9;14;0;5;5;3;1;4;;;;;;;1;1;2;1;0;1;322;249;571;212;239;451;;;;;;;3;3;6;1;6;7;3;2;5;2;3;5;4;2;6;0;5;5;4;1;5;1;6;7;7;4;11;2;12;14;0;0;0;2;0;2;3;2016-12-31;-9;-7;-8;-28;-19;-14;-31;-19;-10;-7;-10;-8;-65;-34;33;12;8;-30;-56;-72;-48;-34;-7.0;-24;-14;-8;-8;-7;-7.0;-17;-10;-6;-3;-7;-42;-24;-39;-24;25;-1;-80.0;7;3;-1;-1;-7;-1;-2;20;4;2;15;8;-35;-22;-17;8;-10;-10;-2;-40;-22;-12;-6;-2;32;65;-4;59;23;2;-7;-12;-13;61;27;12;6;-4;7;9;9;10;20;16;38;32;23.0;8.0;-6;9.0;20.0;0;13:00:00;-1;BOU;SWA
LIV X MCI 2016-12-31;240 (79%);221 (81%);461 (80%);155 (71%);151 (69%);306 (70%);17;11;28;12;8;20;58%;57%;57%;42%;43%;43%;;;;;;;;;;;;;2;1;3;0;1;1;1;5;6;1;3;4;;;;;;;40;39;79;33;25;58;12;12;0;0;0;0;2;2;;;;;;;2;0;2;2;0;2;302;273;575;219;218;437;;;;;;;1;1;2;1;1;2;2;2;4;2;1;3;0;2;2;1;0;1;3;4;7;2;1;3;4;5;9;3;2;5;0;1;1;1;1;2;0;2016-12-31;-6;38;24;14;-31;-25;-21;-20;-9;30;15;-9;9;-11;-1;-2;4;1;32;20;17;11;-5.0;32;17;5;2;1;1.0;1;1;1;-8;7;-11;-13;-15;-14;-29;-13;-5.0;-4;39;29;20;4;16;12;7;7;-37;-22;-40;-32;-51;-30;5;-45;-27;-59;-36;-24;-21;-15;-9;-3;-4;5;2;22;-24;-10;-9;-10;-11;-29;-35;-19;-4;-30;-16;-6;8;30;21;20;14;11.0;7.0;72;3.0;25.0;1;15:30:00;1;MCI;LIV
WAT X TOT 2017-01-01;238 (82%);242 (84%);480 (83%);108 (63%);82 (68%);190 (65%);5;9;14;10;3;13;64%;70%;67%;36%;30%;33%;;;;;;;;;;;;;2;0;2;2;1;3;2;1;3;0;0;0;;;;;;;22;30;52;26;16;42;6;11;0;1;1;1;1;2;1;0;1;0;0;0;1;2;3;3;2;5;289;289;578;172;121;293;;;;;;;8;3;11;1;3;4;7;4;11;0;1;1;4;2;6;0;2;2;5;3;8;1;1;2;13;6;19;2;4;6;0;0;0;1;2;3;4;2017-01-01;2;-40;-27;-17;-93;-56;-57;-40;-22;-5;-7;2;-1;-3;-6;-7;-32;-23;-52;-35;-100;-77;-10.0;-55;-39;-28;-10;-86;-51.0;-20;-12;-8;4;-2;-36;-21;-88;-53;-33;-20;;-15;-3;-76;-44;3;-30;-21;-32;21;-5;-5;-25;-57;-32;-21;-6;-10;-8;-5;-7;-12;-11;-15;-12;-5;-6;-43;-7;-7;-7;-4;-2;1;1;-25;-19;-22;-31;-48;-34;-23;-24;-18;-27;-23;-21;-24.0;-26.0;-21;-17.0;75.0;1;11:30:00;-1;TOT;WAT
ARS X CRY 2017-01-01;131 (70%);127 (77%);258 (74%);273 (86%);268 (84%);541 (85%);11;12;23;7;8;15;37%;35%;36%;63%;65%;64%;;;;;;;;;;;;;0;1;1;2;8;10;1;3;4;3;5;8;0;0;0;2;0;2;27;32;59;24;33;57;7;9;4;1;5;1;3;4;;;;;;;2;1;3;2;0;2;186;165;351;319;318;637;;;;;;;1;3;4;6;8;14;0;2;2;3;2;5;1;3;4;5;2;7;0;3;3;4;4;8;1;6;7;10;12;22;0;1;1;0;1;1;0;2017-01-01;-1;2;22;42;35;26;20;17;55;100;76;-5;51;30;14;7;-31;-22;-16;33;15;13;4.0;5;-13;-3;5;-1;25.0;20;-41;-11;-6;39;-5;-2;1;6;4;3;40.0;86;26;16;71;29;53;61;48;33;20;16;16;94;60;32;24;-28;-64;-83;-48;-67;-56;-28;-37;-20;-2;26;7;30;37;20;10;5;1;1;1;-5;17;8;9;12;4;9;10;11;12;38.0;33.0;2;3.0;65.0;2;14:00:00;1;CRY;ARS
MID X LEI 2017-01-02;118 (66%);101 (66%);219 (66%);170 (75%);261 (86%);431 (81%);17;15;32;12;13;25;43%;33%;38%;57%;67%;62%;;;;;;;;;;;;;1;1;2;2;1;3;1;1;2;0;2;2;;;;;;;38;30;68;35;31;66;9;10;0;1;1;2;2;4;;;;;;;;;;;;;179;152;331;228;302;530;;;;;;;1;3;4;2;2;4;2;2;4;2;3;5;2;2;4;0;1;1;4;2;6;2;3;5;5;5;10;4;5;9;0;0;0;2;1;3;0;2017-01-02;10;-12;-12;-6;-7;-50;-22;-16;-4;7;10;4;9;40;35;27;-35;-11;10;-5;-4;-1;-7.0;-6;13;38;25;18;14.0;6;-1;4;1;-3;-2;-1;-41;-25;-21;-1;0.0;-1;-1;40;22;3;12;6;3;20;5;2;-31;-26;-16;-4;3;5;13;38;31;22;17;13;9;39;18;13;-20;-6;-54;-28;-11;6;26;23;17;13;7;11;8;8;8;38;26;19;14;12.0;8.0;-26;3.0;-25.0;0;10:30:00;0;LEI;MID
EVE X SOU 2017-01-02;162 (76%);135 (71%);297 (74%);200 (75%);167 (76%);367 (75%);10;4;14;12;8;20;45%;48%;46%;55%;52%;54%;;;;;;;;;;;;;2;1;3;5;1;6;3;5;8;6;4;10;0;0;0;1;0;1;29;22;51;33;34;67;14;5;2;1;3;1;2;3;;;;;;;2;0;2;1;3;4;213;190;403;266;221;487;;;;;;;4;3;7;4;6;10;4;2;6;1;4;5;1;2;3;2;4;6;3;2;5;4;3;7;7;5;12;8;9;17;1;0;1;0;0;0;0;2017-01-02;-2;14;4;-5;-6;-26;-12;-10;-53;-24;48;-3;-34;-6;2;2;-1;2;38;19;30;16;3.0;8;1;-1;5;-6;25.0;11;30;12;-51;2;-30;-15;23;3;3;-3;-25.0;-21;-8;-1;4;8;4;7;-17;29;10;4;1;5;-4;-4;8;-11;7;2;3;40;62;39;5;25;15;72;8;-8;8;5;85;93;58;27;29;10;46;32;18;85;54;31;-46;-23;-19;-82.0;76.0;30;19.0;-55.0;3;13:00:00;1;SOU;EVE
MCI X BUR 2017-01-02;118 (66%);129 (72%);247 (69%);215 (81%);144 (78%);359 (80%);13;18;31;17;17;34;40%;51%;45%;60%;49%;55%;;;;;;;;;;;;;1;1;2;3;4;7;2;6;8;4;4;8;;;;;;;33;33;66;36;26;62;11;11;1;0;1;0;1;1;;;;;;;1;2;3;3;0;3;178;179;357;265;185;450;0;0;0;1;0;1;1;5;6;2;3;5;2;4;6;1;3;4;0;3;3;1;2;3;2;3;5;3;6;9;3;8;11;5;9;14;1;2;3;1;3;4;1;2017-01-02;10;29;22;17;17;12;7;8;8;-11;86;13;54;38;28;49;27;25;44;31;-51;-13;11.0;-1;-1;2;-9;-1;2.0;2;-34;-11;8;9;1;1;4;-4;-3;-4;0.0;-3;-34;25;7;13;28;16;17;-20;-6;8;3;1;2;76;3;44;26;14;7;49;57;61;34;17;-27;-4;-54;-35;-100;-61;-36;-20;-28;-12;-100;-68;-7;-52;-5;-3;9;10;6;20;11;-6.0;-8.0;4;-42.0;-45.0;2;13:00:00;1;BUR;MCI
SUN X LIV 2017-01-02;312 (84%);293 (90%);605 (87%);95 (66%);104 (71%);199 (69%);8;6;14;4;5;9;73%;70%;71%;27%;30%;29%;;;;;;;;;;;;;3;0;3;1;4;5;3;2;5;2;0;2;;;;;;;21;25;46;26;17;43;10;10;3;0;3;5;8;13;;;;;;;0;3;3;2;1;3;371;327;698;143;147;290;;;;;;;5;7;12;2;3;5;2;1;3;0;0;0;6;9;15;4;1;5;6;3;9;3;2;5;11;10;21;5;5;10;1;2;3;1;1;2;2;2017-01-02;-10;-100;-65;-43;-34;-17;-9;-6;-5;-3;-5;-12;-100;-66;-42;-4;-7;-6;45;20;37;22;-13.0;9;2;1;-5;36;14.0;3;-10;-10;-54;-14;-37;-28;-61;-43;-29;-19;-20.0;10;-7;-12;-13;-15;-14;-16;-16;-11;-8;-1;-29;-16;-12;-10;-19;-4;-3;-5;-11;-9;-49;-81;-55;-39;-70;38;-41;-22;-15;-100;-85;-52;-33;-18;1;1;-40;2;2;2;-7;-9;69;31;-47;-22.0;-59.0;-17;-46.0;-110.0;2;13:00:00;0;LIV;SUN
WBA X HUL 2017-01-02;214 (85%);226 (86%);440 (85%);163 (82%);106 (73%);269 (78%);10;13;23;7;6;13;56%;63%;59%;44%;37%;41%;;;;;;;;;;;;;2;0;2;2;1;3;6;3;9;2;5;7;;;;;;;27;23;50;19;26;45;4;5;2;0;2;4;1;5;;;;;;;;;;;;;253;263;516;200;146;346;;;;;;;6;3;9;3;3;6;4;5;9;0;0;0;5;1;6;2;3;5;5;3;8;1;1;2;11;6;17;4;4;8;;;;;;;1;2017-01-02;-8;-13;-5;-2;1;-6;-8;-59;-41;-30;-24;-60;-74;-100;-75;-45;-27;-12;-1;-1;-1;-1;-31.0;5;2;1;5;5;55.0;28;12;-66;-64;-8;-35;-23;-76;-3;7;15;0.0;4;5;7;7;-39;100;63;38;18;11;-19;31;8;3;-3;-50;-3;-5;58;70;39;29;43;8;-8;-10;-30;-44;-33;-23;-18;66;12;5;5;31;6;-45;-7;-2;-76;-52;-40;-23;-54;-32;-65.0;-44.0;-27;-57.0;-5.0;3;13:00:00;1;HUL;WBA
WES X MUN 2017-01-02;335 (90%);307 (90%);642 (90%);159 (78%);150 (78%);309 (78%);5;3;8;1;7;8;64%;64%;64%;36%;36%;36%;;;;;;;;;;;;;0;2;2;0;1;1;0;1;1;2;0;2;;;;;;;20;20;40;22;24;46;13;9;1;1;2;1;3;4;1;1;2;0;0;0;4;1;5;0;0;0;373;340;713;204;192;396;0;0;0;1;0;1;3;5;8;0;3;3;2;3;5;4;1;5;1;5;6;1;1;2;0;5;5;5;0;5;3;10;13;5;3;8;1;1;2;1;1;2;2;2017-01-02;8;29;64;55;25;20;15;-21;-15;-5;-9;-5;-12;-11;-11;-11;-11;-11;-3;3;-2;-2;1.0;-6;4;-4;-6;-7;-8.0;-14;-14;-100;-67;2;-38;-21;-14;8;6;6;70.0;-5;-5;-8;-39;23;-33;-24;-19;26;6;-5;-5;-11;-13;-7;14;-8;-8;31;11;-80;-47;-32;-25;-11;-27;9;-12;9;1;1;2;-20;-11;-45;-56;-72;7;-80;-48;-31;-22;-16;-7;-69;-39;-21.0;-10.0;6;2.0;0.0;0;15:15:00;-1;MUN;WES
