game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Over;both_score_Under;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;draw_no_bet_No;draw_no_bet_Yes;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Over;fl_both_score_Under;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_draw_no_bet_No;fl_draw_no_bet_Yes;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
COR X SPT 2017-08-05;487 (86%);377 (83%);12;7;56%;44%;;;;;0;1;5;3;;;34;45;10;2;1;6;;;4;1;569;454;;;7;6;5;5;7;4;5;4;12;10;2;1;1;1.75;;;2.00;2017-08-05;1.29;1.10;2.63;1.17;5.00;;;1.50;7.50;3.75;2.10;6.50;2.20;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;3.0;83.6;44.22;7.74;-37.1;-60.13;-50.86;-30.72;-17.9;23.2;5.34;4.78;0.96;-2.9;-4.18;-7.11;-6.62;-6.62;-6.62;-6.62;-6.62;-31.62;5.84;23.0;-27.4;-18.46;-14.83;-10.81;-6.54;-5.25;-5.82;27.0;8.68;8.07;-5.8;-6.0;-9.14;-0.04;7.81;4.83;;78.06;46.6;26.92;10.21;4.27;5.62;-7.68;29.53;-28.53;-6.26;-7.22;-8.08;-41.2;-26.58;-20.11;1.79;-20.89;-9.91;-26.15;-43.04;-25.28;-14.34;-8.69;100.0;59.45;35.35;20.31;24.01;17.28;-37.0;-18.11;-13.57;-6.09;27.2;4.04;-2.6;2.4;13.05;-37.6;31.8;7.59;46.51;-73.2;-22.59;-8.5;17.3;8.69;-25.4;6.89;-4.33;-30.0;3;20:00:00;1;SPT;COR;2.00;;;;;;1.80;-1;-1;-1;-1;-1
FLU X ATG 2017-08-05;338 (81%);381 (84%);13;10;49%;51%;;;;;5;2;7;3;;;40;38;12;13;3;2;;;2;1;419;453;;;5;5;5;2;3;6;8;5;13;10;3;1;1;1.95;;;1.80;2017-08-05;1.29;1.14;2.40;1.22;4.00;;;1.57;6.00;3.75;2.20;5.50;2.30;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;2.0;3.64;3.93;4.11;-29.4;-17.09;69.15;34.01;-45.85;21.2;6.46;0.59;36.6;24.52;16.46;-41.53;-90.13;-51.5;-36.08;-31.54;-13.67;-0.91;3.95;7.0;15.41;17.52;42.87;100.0;60.51;39.13;16.3;0.87;6.27;0.95;6.89;10.07;-8.5;-44.24;-23.5;-11.16;0.0;-33.83;-21.59;-11.7;-9.3;3.16;-2.87;-1.45;-1.99;-2.48;-2.77;-3.31;-13.31;-29.26;-18.74;-5.23;2.13;80.8;42.7;22.58;4.13;-11.7;-18.45;-4.34;-10.96;36.25;40.21;1.71;55.66;23.87;2.14;-9.12;-4.9;-13.14;41.3;17.54;27.3;12.37;2.55;9.25;3.73;3.79;-43.7;-28.79;-15.91;-3.89;5.67;10.86;-24.8;3.42;-15.64;-5.0;3;20:00:00;1;ATG;FLU;1.80;;;;;;2.00;-1;-1;-1;-1;-1
FLA X VIT 2017-08-06;196 (69%);421 (85%);17;22;35%;65%;;;;;0;1;0;5;;;60;70;21;15;6;4;1;0;1;4;286;497;;;8;9;4;7;6;6;2;5;10;14;2;4;2;1.75;;;2.00;2017-08-06;1.18;1.07;3.40;1.10;7.00;;;1.33;9.00;5.00;1.80;7.50;2.50;True;;;False;True;False;True;False;True;;;False;True;False;False;True;False;False;;;;;;True;False;False;False;False;False;9.0;74.45;100.0;56.38;44.07;56.72;34.79;32.49;-26.8;7.8;36.4;14.35;17.17;0.42;34.54;32.26;51.87;31.11;-36.65;-9.46;-3.19;-1.18;15.46;-2.1;-26.8;-12.11;-4.25;43.2;22.34;18.47;6.94;0.09;-6.96;41.12;-7.8;35.2;25.81;28.13;24.7;-62.3;30.0;-24.55;-8.96;-0.05;4.14;31.38;10.87;10.14;9.71;9.45;9.45;34.45;24.32;18.29;14.71;12.58;23.99;9.45;4.45;6.96;8.45;4.34;11.89;-75.38;-36.3;-17.3;24.62;19.59;-40.38;-9.14;-1.16;4.62;14.94;-35.36;-9.66;-1.45;4.64;25.59;17.14;62.48;61.44;40.83;33.57;22.77;14.86;6.64;8.25;31.79;-22.4;14.29;-5.03;40.0;0;12:00:00;-1;VIT;FLA;1.57;;;;;;2.35;-1;-1;-1;-1;-1
BAH X SPO 2017-08-06;480 (85%);196 (72%);15;17;68%;32%;;;;;5;2;8;2;;;62;49;12;20;3;3;;;0;5;567;271;;;4;6;2;4;4;5;7;5;11;11;2;4;1;2.00;;;1.75;2017-08-06;1.38;1.45;1.50;1.83;1.83;;;2.63;2.75;3.10;3.25;3.25;2.10;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;10.0;-8.31;-10.44;-14.32;-11.24;-1.54;2.8;49.32;35.5;22.29;10.08;14.15;2.99;7.07;-7.93;-1.08;-4.14;-0.95;-4.79;-5.96;-2.4;-29.85;6.61;-25.64;-22.77;-21.06;-73.02;-34.58;-18.28;-15.14;-13.27;-3.25;-2.28;35.13;6.6;85.0;52.43;27.69;92.98;61.99;-85.0;38.19;18.09;6.52;-1.31;50.89;-5.81;-8.61;-34.38;20.4;-14.6;-12.86;-9.21;-20.17;-18.96;-15.64;35.01;-34.41;34.55;3.67;-6.05;-7.71;-8.74;-6.43;-2.05;-39.44;-30.93;60.71;-45.87;-35.3;-47.73;-32.14;-25.16;-19.52;-17.66;-15.16;-15.16;-15.16;4.33;-15.16;-10.16;-4.9;40.65;23.87;10.34;6.92;-24.35;-14.43;30.65;-1.9;14.82;10.0;2;17:00:00;1;SPO;BAH;2.00;;;;;;1.80;-1;-1;-1;-1;-1
CFC X CHA 2017-08-06;334 (80%);324 (79%);11;14;51%;49%;;;;;2;1;6;3;0;1;43;58;21;13;1;1;;;1;0;419;408;;;5;4;5;4;2;3;4;4;9;8;;;0;1.95;;;1.80;2017-08-06;1.30;1.20;2.10;1.33;3.25;;;1.75;4.75;3.50;2.50;4.75;2.20;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;False;;;;;;True;False;False;False;False;False;3.8;2.56;8.6;1.42;11.27;11.76;6.09;-7.8;-10.43;-14.77;-13.18;6.06;-11.75;-20.41;-7.55;73.3;34.85;14.32;2.85;-23.4;-21.93;-11.14;0.8;-4.72;-0.91;2.6;3.2;3.2;3.2;23.2;20.29;-18.4;-27.33;-1.5;-19.75;-16.6;-13.63;-10.01;76.33;39.46;-25.0;15.03;6.65;1.67;-7.21;3.5;-46.54;37.47;-47.53;62.67;55.69;38.94;16.96;10.22;-63.4;-42.68;33.84;-63.97;-35.78;-19.02;-9.6;-3.46;-3.76;-5.67;-7.28;-32.86;-23.45;19.43;-36.21;-18.8;-8.45;-0.44;-6.07;-12.99;-33.98;-18.65;-9.54;-3.49;11.36;1.73;3.95;23.95;-32.52;-8.59;-2.76;-4.29;7.48;9.79;66.03;11.47;44.48;30.0;2;17:00:00;1;CHA;CFC;2.00;;;;;;1.80;-1;-1;-1;-1;-1
CRU X BOT 2017-08-06;253 (76%);437 (84%);7;20;39%;61%;;;;;1;8;1;7;2;0;39;57;15;16;4;1;0;2;1;3;335;521;;;3;14;5;10;1;4;4;8;7;22;3;3;0;1.57;;;2.25;2017-08-06;1.29;1.07;2.80;1.14;5.50;;;1.44;9.00;3.80;2.05;7.00;2.20;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;1.2;38.49;29.34;24.39;-40.2;-19.14;-12.92;24.0;16.65;20.69;20.11;1.91;19.83;10.81;66.65;43.24;29.33;13.86;15.18;8.01;7.95;7.91;2.34;8.43;-6.0;4.0;0.03;-6.64;-5.61;-4.29;-4.71;-4.55;-4.09;-3.8;-4.19;-4.25;-4.25;-4.25;-26.29;-19.39;75.0;-6.09;55.3;35.07;36.76;93.2;-25.87;-4.31;18.3;4.91;0.17;0.32;-31.7;38.3;9.3;13.98;64.47;36.77;57.55;34.7;24.09;22.03;14.43;14.53;1.82;4.27;5.35;41.64;6.35;11.58;16.34;18.43;14.67;7.44;22.77;11.84;17.02;45.48;53.47;32.76;43.72;7.12;4.49;11.07;12.22;15.75;11.17;11.97;-19.6;64.28;-2.96;35.0;0;17:00:00;0;BOT;CRU;2.10;;;;;;1.70;-1;-1;-1;-1;-1
GRE X CAM 2017-08-06;315 (81%);591 (88%);11;8;38%;62%;;;;;3;2;8;0;;;46;48;13;18;2;4;0;1;1;2;389;668;;;5;6;3;1;4;4;5;1;10;7;1;3;0;1.91;;;1.91;2017-08-06;1.29;1.14;2.30;1.22;4.00;;;1.62;6.00;3.60;2.25;5.50;2.20;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;False;;;;;;True;False;False;False;False;False;-10.0;3.2;-26.8;-35.6;-16.47;-3.94;5.2;8.75;16.87;5.44;-41.2;-1.55;-11.39;-6.36;-3.74;4.87;9.69;9.75;10.99;11.72;11.86;100.0;4.4;55.68;37.18;26.17;19.64;6.83;5.18;7.21;8.42;9.7;10.47;0.47;11.29;11.41;11.48;41.48;25.22;20.55;0.0;17.77;9.2;1.86;-24.8;18.08;-14.37;-13.78;-9.82;-7.47;7.13;9.81;53.32;31.5;18.52;-60.33;4.29;-43.06;-32.01;-21.9;-40.9;-21.23;-13.07;-13.95;-8.78;-3.85;-2.88;7.83;-2.31;9.8;10.14;5.88;13.35;12.79;11.68;-35.2;-11.12;-6.46;11.12;5.88;1.52;4.4;3.06;-4.12;-5.96;-6.88;-7.43;-7.75;-1.9;-8.8;-23.42;-75.0;2;17:00:00;1;CAM;GRE;1.95;;;;;;1.85;-1;-1;-1;-1;-1
PAL X CAP 2017-08-06;258 (76%);562 (89%);21;25;34%;66%;;;;;1;5;3;7;;;48;67;22;10;3;4;;;4;1;338;635;;;4;13;1;11;5;3;3;6;7;19;3;1;1;1.70;;;2.05;2017-08-06;1.30;1.13;2.38;1.20;4.33;;;1.60;6.50;3.50;2.25;6.00;2.10;True;;;False;True;False;True;False;True;;;False;True;False;False;True;False;False;;;;;;True;False;False;False;False;False;-10.0;13.37;7.09;28.36;20.93;-21.6;-7.7;-5.85;-46.6;-35.62;-100.0;54.47;-72.05;-36.94;-13.09;-2.82;6.23;38.42;25.54;12.88;10.46;14.01;33.32;8.54;2.25;-2.6;10.07;9.94;15.77;8.42;54.05;25.24;13.48;24.28;6.96;8.93;7.38;10.54;12.05;12.89;15.0;-67.8;-69.18;-35.26;-55.08;15.23;-28.11;-6.6;5.07;18.06;39.64;28.39;26.7;25.7;21.56;18.36;10.6;91.43;54.5;31.9;23.65;18.76;30.39;29.73;49.39;40.7;19.21;3.06;-9.6;-3.37;32.53;13.4;15.78;17.56;13.1;56.21;39.44;28.74;3.29;42.37;60.85;42.91;65.59;44.07;29.79;50.56;34.79;83.18;52.25;3.42;33.86;-10.0;0;17:00:00;-1;CAP;PAL;2.10;;;;;;1.70;-1;-1;-1;-1;-1
AVA X SAN 2017-08-06;463 (85%);249 (77%);15;19;62%;38%;;;;;3;1;8;4;0;1;55;52;16;22;3;3;1;2;0;1;544;324;;;4;7;7;8;3;3;9;5;13;12;1;3;0;1.75;;;2.00;2017-08-06;1.38;1.67;1.33;2.25;1.57;;;3.40;2.25;3.10;4.00;3.10;1.95;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;-5.4;27.69;12.91;38.73;17.67;-33.4;-18.38;-27.44;-21.16;-19.86;-21.86;-10.61;-19.81;-17.6;-17.35;-16.63;-10.84;-47.8;-4.77;-9.19;15.2;23.63;-13.71;29.56;47.06;29.69;42.72;25.31;50.33;27.7;16.48;9.78;27.66;-15.55;25.68;17.79;13.1;5.18;-3.3;-65.29;-5.0;-39.35;-23.94;-14.4;-8.67;-16.65;-48.35;-76.62;-68.13;-39.61;30.87;8.79;6.69;13.55;2.5;14.5;-12.9;7.57;-30.5;-16.45;-9.87;-8.05;-0.85;24.63;-32.13;-17.47;-11.77;-5.12;-8.76;-8.38;-4.06;-3.36;-3.36;-3.36;-8.36;-1.33;-22.15;-19.53;26.4;-12.97;-7.34;-24.74;-43.22;-20.33;-2.09;-46.34;-26.17;-9.92;-7.86;51.36;18.4;-45.0;0;20:00:00;0;SAN;AVA;2.40;;;;;;1.53;-1;-1;-1;-1;-1
PON X VAS 2017-08-06;310 (78%);287 (76%);16;23;51%;49%;;;;;1;3;2;7;;;60;54;16;17;2;0;;;0;2;399;377;;;2;8;5;7;0;3;4;5;6;13;4;1;0;1.75;;;2.00;2017-08-06;1.29;1.17;2.25;1.22;4.00;;;1.67;5.50;3.60;2.25;6.00;2.10;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;-1.6;3.93;-4.4;7.2;-4.2;6.6;6.73;7.66;67.35;36.45;17.28;-8.42;6.13;-3.9;-8.9;-13.9;-4.78;3.2;3.88;5.79;3.39;-5.72;-12.48;-3.3;-2.92;-2.69;69.8;100.0;88.45;53.64;32.95;20.41;10.26;-14.89;38.92;30.97;26.64;18.69;12.62;7.01;30.0;5.53;4.62;-3.33;21.67;-12.85;14.03;2.8;-10.4;-8.9;16.13;1.49;2.27;-54.02;-29.59;-17.81;-23.42;-39.32;-52.47;-26.2;-14.67;-6.9;-0.05;4.03;14.22;10.28;27.87;-14.27;23.13;20.31;29.61;15.88;6.24;1.63;-6.58;-6.58;-10.37;-7.63;-9.0;18.42;7.23;2.84;-26.58;30.33;23.44;19.38;15.94;15.75;56.41;-5.87;36.7;30.0;0;20:00:00;0;VAS;PON;2.15;;;;;;1.67;-1;-1;-1;-1;-1
ATG X CFC 2017-08-12;254 (75%);249 (75%);10;19;50%;50%;;;;;1;3;5;6;;;61;52;20;27;1;3;;;0;1;339;331;;;3;4;6;4;3;2;7;5;10;9;3;2;0;1.91;;;1.91;2017-08-12;1.38;1.35;1.62;1.62;2.20;;;2.30;3.25;3.10;3.10;3.60;2.05;True;;;False;True;True;False;True;False;;;True;False;False;False;False;True;False;;;;;;True;False;False;False;False;False;-2.0;14.61;11.86;7.0;3.37;1.55;0.79;0.09;2.52;-22.53;-15.04;2.8;23.27;31.78;21.98;34.34;-45.4;-17.67;-18.43;-44.6;-30.58;-17.4;1.96;-12.86;-12.39;-1.81;3.07;4.56;8.84;11.57;32.58;69.62;41.64;3.36;59.8;35.59;24.72;11.42;7.24;2.15;-45.0;5.84;12.67;7.09;6.95;4.2;-17.23;-10.38;-4.11;2.77;2.77;-17.23;-12.84;-37.34;-28.68;-18.54;35.25;-6.02;-4.53;-1.78;36.87;53.53;28.42;20.59;15.94;10.34;7.38;21.95;23.22;-33.87;-21.23;-11.76;-11.53;-32.51;-21.08;-14.51;-11.35;-9.07;24.17;-36.23;-18.86;-13.13;-9.72;-27.69;-21.15;37.89;-32.11;-17.06;-8.5;20.81;5.0;5.0;1;17:00:00;1;CFC;ATG;2.20;;;;;;1.65;-1;-1;-1;-1;-1
VIT X AVA 2017-08-12;211 (71%);335 (79%);12;21;41%;59%;;;;;2;4;4;7;;;43;57;11;14;6;0;;;2;0;298;424;;;3;14;5;10;1;6;5;6;8;20;3;1;1;1.75;;;2.00;2017-08-12;1.29;1.17;2.25;1.22;4.00;;;1.67;5.50;3.60;2.30;5.50;2.20;True;;;False;True;False;True;False;True;;;False;True;False;False;False;True;False;;;;;;True;False;False;False;False;False;10.0;37.98;26.62;19.84;13.58;9.77;15.05;15.02;13.6;10.04;7.92;8.55;1.29;-22.72;-16.43;-6.06;78.87;53.72;31.68;22.08;35.9;18.53;10.08;-14.4;-0.26;2.0;2.0;7.52;67.54;87.01;49.98;27.97;14.51;-11.2;-12.2;-33.56;-20.03;-39.39;-25.9;-37.09;10.0;41.69;14.49;12.36;9.23;-28.49;8.86;3.86;3.86;44.26;28.28;18.78;13.13;9.77;4.77;9.77;-12.88;12.35;23.89;55.58;34.42;21.47;14.33;39.35;22.38;-27.93;-6.81;-2.65;-2.13;-1.58;32.07;22.56;-67.93;-30.59;-16.27;-5.78;36.27;35.74;35.2;14.2;-26.9;-6.08;-30.86;-13.73;-2.21;7.96;71.6;51.66;32.11;57.0;45.48;50.0;0;20:00:00;-1;AVA;VIT;2.05;;;;;;1.75;-1;-1;-1;-1;-1
SPO X CRU 2017-08-13;375 (87%);271 (81%);11;14;58%;42%;;;;;5;2;7;4;;;55;51;18;19;1;2;1;0;;;432;333;2;1;12;5;10;3;4;4;7;4;19;9;5;6;2;1.75;;;2.00;2017-08-13;1.35;1.25;1.91;1.36;3.00;;;1.91;4.20;3.25;2.60;4.75;2.05;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;-4.0;-7.12;-0.37;-12.0;-0.18;-30.38;-38.53;-19.98;-2.78;3.2;-4.6;-1.38;20.92;11.0;-6.2;-27.9;-13.74;-7.19;7.5;13.63;38.75;21.45;-6.62;11.17;0.28;6.95;-3.05;1.95;2.77;-3.3;1.7;-21.85;-14.69;-29.74;-10.73;-32.98;-16.81;-35.44;-23.0;-18.14;85.0;10.4;-5.0;-25.52;56.4;-13.68;46.34;28.18;-75.1;-32.71;-22.57;-18.93;-10.3;-28.38;-100.0;-74.09;-11.44;-46.6;-55.62;-27.34;-4.94;3.67;-2.73;-2.73;17.27;6.46;0.84;-10.47;-2.73;-10.3;90.7;45.42;-29.3;6.6;-58.4;-41.77;-67.21;-20.47;-34.4;-15.35;7.31;-2.69;74.89;40.55;21.62;1.86;-5.45;-43.29;-30.98;-17.53;-14.62;-45.0;3;12:00:00;1;CRU;SPO;2.25;;;;;;1.62;-1;-1;-1;-1;-1
CAM X FLA 2017-08-13;356 (85%);400 (86%);6;12;48%;52%;;;;;5;4;5;7;;;57;53;17;22;4;1;;;1;1;417;465;1;0;4;11;3;10;1;6;5;9;9;20;3;4;0;2.00;;;1.75;2017-08-13;1.36;1.40;1.57;1.67;2.10;;;2.40;3.00;3.20;3.10;3.50;2.10;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;False;;;;;;True;False;False;False;False;False;10.0;23.0;12.92;27.91;21.42;15.31;10.19;88.74;38.36;29.8;59.7;15.95;36.02;15.99;11.19;1.85;-1.31;5.73;8.59;5.78;1.85;-1.9;57.35;-2.83;-9.01;-11.01;-12.41;-13.63;-14.57;-36.0;-23.84;17.15;34.66;36.97;13.5;6.09;-9.0;-7.14;7.2;23.1;-65.0;37.03;15.68;2.53;-7.4;29.85;-7.87;-28.79;-19.0;12.6;69.24;73.94;43.22;26.55;15.52;19.88;20.8;40.06;19.67;12.31;59.94;42.14;60.45;76.33;40.4;15.18;77.98;30.03;78.1;47.98;40.99;31.84;8.9;-4.87;-6.48;-6.24;-15.73;-10.48;-27.2;-7.36;-5.5;-4.65;28.51;14.43;7.2;40.34;20.05;5.75;-4.05;-4.88;-54.8;40.0;2;17:00:00;1;FLA;CAM;2.00;;;;;;1.80;-1;-1;-1;-1;-1
SPT X PON 2017-08-13;193 (65%);576 (85%);18;18;30%;70%;;;;;0;2;1;8;;;57;59;10;14;2;5;0;1;1;2;296;681;;;4;2;4;5;5;2;5;7;9;9;1;1;0;1.80;;;1.95;2017-08-13;1.29;1.17;2.30;1.25;3.75;;;1.65;5.75;3.60;2.30;5.50;2.20;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;10.0;9.73;26.04;16.83;18.82;15.51;13.17;10.66;40.66;45.83;30.9;11.35;22.02;16.75;12.98;11.68;12.8;38.46;28.72;27.81;35.52;24.34;12.15;15.84;12.64;10.37;-26.32;-10.16;-3.37;2.95;3.08;5.02;3.99;12.62;53.38;32.75;20.48;13.31;9.06;2.81;5.0;10.88;5.68;2.18;0.11;12.9;4.78;66.91;64.61;43.28;30.59;52.62;31.25;-40.22;-49.54;-25.02;17.33;-17.59;-10.95;-3.65;10.54;11.0;11.64;-29.91;-8.56;55.09;33.99;54.5;49.92;41.99;34.68;21.61;17.56;13.3;12.25;8.0;5.85;4.57;-55.8;3.81;3.36;-38.53;-20.23;-15.48;-17.65;-8.95;-0.8;26.66;17.4;-9.82;-30.0;-20.0;0;17:00:00;0;PON;SPT;2.05;;;;;;1.75;-1;-1;-1;-1;-1
VAS X PAL 2017-08-13;464 (88%);289 (82%);15;4;59%;41%;;;;;3;5;5;9;;;48;35;13;17;1;2;;;4;3;530;354;;;6;9;1;5;3;2;1;3;7;12;2;1;1;1.91;;;1.91;2017-08-13;1.36;1.73;1.30;2.38;1.53;;;3.50;2.15;3.20;4.00;2.88;2.10;False;;;True;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;10.0;-8.06;16.0;-6.8;-6.8;8.2;-10.4;-16.36;-10.22;-10.64;-12.01;6.25;-6.44;-15.02;-16.26;-9.16;-29.94;-17.66;-27.21;-14.83;-8.03;4.2;9.01;4.95;1.45;-12.8;-12.39;-12.88;-2.97;1.9;-38.1;-27.91;-22.54;4.56;-20.1;36.8;13.88;5.08;4.85;-3.64;5.0;-6.54;-7.66;-3.32;-6.12;1.91;-7.41;-13.17;-14.83;-16.19;-11.03;-7.96;-11.76;-14.15;-0.87;2.0;-0.8;8.08;-25.47;-16.84;-31.0;-19.05;-17.32;-8.87;-5.34;-17.12;39.53;-1.06;18.84;2.19;2.3;28.48;49.95;30.3;14.35;9.13;-79.33;-47.08;-5.03;-27.37;58.2;53.26;35.76;-21.8;-2.2;-2.43;-5.34;98.2;36.39;-6.93;14.97;25.0;1;17:00:00;0;PAL;VAS;2.30;;;;;;1.60;-1;-1;-1;-1;-1
CAP X BAH 2017-08-13;278 (81%);403 (89%);13;17;44%;56%;;;;;4;6;5;8;;;49;51;15;13;6;2;1;0;0;4;344;455;;;4;13;4;4;3;9;7;7;11;19;4;2;1;1.70;;;2.05;2017-08-13;1.38;1.25;1.83;1.36;3.00;;;2.00;4.20;3.10;2.75;4.75;2.00;False;;;True;True;True;False;True;False;;;True;False;False;False;False;True;True;;;;;;False;False;False;False;False;False;-10.0;20.91;36.48;22.78;14.64;8.31;-22.4;-50.55;-25.76;-9.02;6.4;-1.85;-5.4;-80.4;-35.96;-33.66;31.8;24.32;97.64;62.18;42.85;-23.8;-2.0;6.2;-5.85;7.33;14.03;17.44;16.71;16.94;60.53;5.4;3.0;-3.39;1.6;-1.4;-10.76;-15.19;-10.96;-3.44;25.0;-34.84;-13.14;7.1;52.31;2.8;39.14;44.0;100.0;62.51;31.57;17.45;33.32;12.92;52.11;37.18;2.21;100.0;65.64;32.21;-36.87;-9.81;-5.19;61.67;46.74;26.23;36.06;5.13;19.68;10.85;4.31;1.61;-21.85;-4.17;-4.02;-3.57;38.73;27.6;7.24;-25.8;-1.67;-1.7;4.2;4.2;2.18;-22.16;100.0;54.19;29.75;28.59;19.04;0.0;4;20:00:00;1;BAH;CAP;2.40;;;;;;1.53;-1;-1;-1;-1;-1
BOT X GRE 2017-08-13;470 (87%);242 (74%);18;7;63%;37%;;;;;4;2;8;4;0;2;57;53;15;18;6;5;;;;;541;326;;;9;8;5;4;5;7;5;5;14;13;1;3;0;1.80;;;1.95;2017-08-13;1.38;1.40;1.55;1.73;2.00;;;2.50;3.00;3.10;3.25;3.60;2.00;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;False;;;;;;True;False;False;False;False;False;-3.0;20.56;67.72;61.35;27.53;15.02;8.75;1.11;-1.08;-0.11;0.09;3.8;-1.5;-2.36;-45.61;-32.32;-44.42;36.6;2.83;-15.6;44.8;30.18;8.8;-54.87;-33.19;-23.44;-21.66;-17.67;-9.73;-8.35;-2.9;-44.7;-40.58;11.73;-33.21;-23.83;-19.43;-13.46;-12.07;-1.92;-45.0;-21.26;-12.7;-57.61;-34.31;13.47;-25.3;-23.08;-18.25;-11.66;-11.46;-28.48;-18.22;-6.67;38.82;20.08;9.63;67.39;34.04;18.77;7.1;3.13;-3.32;38.82;21.09;8.0;-44.63;44.65;-33.2;-32.25;-28.72;-46.36;-21.58;-39.44;-60.06;-39.57;-25.89;-20.16;57.58;-14.53;-10.43;-10.43;25.43;-41.87;-19.31;-8.01;33.3;13.58;-31.7;30.35;-18.76;55.0;1;20:00:00;1;GRE;BOT;2.35;;;;;;1.57;-1;-1;-1;-1;-1
