game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ARS X LEI 2018-10-22;228 (74%);602 (86%);17;16;31%;69%;2;1;2;3;3;2;18;12;4;6;1;0;2/12 (17%);2/11 (18%);13;10;10/17 (59%);12/16 (75%);51;57;10;10;3;2;1;0;20;10;28/55 (51%);25/44 (57%);1;2;309;703;;;5;12;3;11;2;6;3;7;5/14 (36%);11/20 (55%);8;19;2;2;1;2018-10-22;0;-5;3;6;6;45;18;-39;-20;-11;-26;-3;-83;-50;-19;25;57;63;53;37;26;19;2;32;22;-16;28;34;44;32;37;22;49;-19;47;50;22;80;51;100;11.0;6;8;10;20;-2;43;33;51;47;63;46;32;29;19;-50;2;-19;15;7;11;72;52;35;85;55;41;-55;51;29;12;-10;-9;-6;-4;-1;37;20;-33;10;-7;6;10;12;45;34;34;11;6;-20;4.0;-8.0;3;17:00:00;1;LEI;ARS
BHA X WOL 2018-10-27;439 (84%);262 (72%);24;20;61%;39%;1;1;1;2;10;1;10;33;10;1;;;9/36 (25%);3/9 (33%);10;7;12/21 (57%);12/16 (75%);57;58;8;11;0;7;0;1;19;5;37/69 (54%);31/76 (41%);1;0;523;362;;;13;5;8;5;7;1;12;2;5/11 (45%);13/19 (68%);25;7;0;3;0;2018-10-27;-2;-48;32;-13;-21;-6;-18;-37;-23;-24;-11;-20;-30;-18;-12;-8;9;-33;-15;-11;-20;-15;-33;-9;-4;26;6;-27;-9;-2;4;3;7;-27;-17;14;31;20;81;51;12.0;8;12;58;60;-23;31;16;-19;-14;-28;-14;-6;3;13;1;-21;-18;-17;-21;-13;-19;-13;-36;-18;-8;-2;-18;-7;-46;-47;-33;-41;-53;-54;-83;-55;-62;-17;-49;-56;-37;-61;-52;-37;-41;-27;-17;-13;-39;-34.0;-89.0;1;12:00:00;1;WOL;BHA
FUL X BOU 2018-10-27;421 (85%);453 (83%);9;27;48%;52%;1;0;4;0;1;1;24;34;5;5;2;0;6/23 (26%);4/16 (25%);5;5;7/12 (58%);5/7 (71%);37;45;3;16;1;2;;;10;13;26/49 (53%);22/56 (39%);1;1;495;547;0;1;8;7;6;9;5;1;4;4;4/7 (57%);8/10 (80%);12;11;1;4;3;2018-10-27;-7;7;4;-45;-29;-52;-30;-45;-25;-20;-35;-10;-19;-8;-3;39;27;23;-33;-16;-55;-73;-100;-57;-44;-27;-14;8;29;22;8;8;60;-69;34;20;-28;-31;-22;1;47.0;6;4;24;22;-24;19;48;25;9;2;-33;-28;-76;-54;-29;-13;-6;8;15;16;31;23;-32;-4;4;7;-6;33;24;15;-57;-27;-20;-26;-14;-1;2;4;33;31;19;14;-25;-17;-74;-46;-1;-8;6;-27.0;-14.0;0;12:00:00;-1;BOU;FUL
LIV X CAR 2018-10-27;122 (59%);727 (89%);14;18;21%;79%;0;1;1;4;0;6;41;11;0;8;0;3;0/7 (0%);5/24 (21%);6;8;8/14 (57%);9/15 (60%);42;42;4;6;2;0;0;1;20;6;14/52 (27%);20/37 (54%);4;0;207;818;;;1;9;1;6;1;7;1;10;8/14 (57%);7/12 (58%);2;19;;;1;2018-10-27;-12;79;88;39;38;48;27;15;4;21;21;8;27;23;21;18;17;16;78;58;41;31;8;55;36;28;52;46;18;15;13;20;19;13;14;55;37;52;33;24;11.0;50;34;25;19;16;16;10;-18;-2;4;-4;-14;-1;-2;6;14;11;55;38;28;21;17;12;100;77;50;32;40;29;15;40;26;18;46;30;-60;-26;26;23;7;-5;-13;-13;83;45;76;44;24;58;-3.0;13.0;4;12:00:00;1;CAR;LIV
SOU X NEW 2018-10-27;297 (72%);302 (75%);21;29;50%;50%;0;1;0;1;2;5;48;23;2;7;1;0;2/15 (13%);9/31 (29%);5;8;3/11 (27%);9/17 (53%);48;61;12;9;4;0;0;1;13;19;28/80 (35%);22/56 (39%);3;1;414;405;;;3;14;4;13;0;4;3;8;6/16 (38%);4/13 (31%);6;22;1;0;0;2018-10-27;-12;27;-26;17;22;5;-7;-7;-11;-23;-6;-8;-1;30;18;10;4;-28;-18;-12;-40;-26;-2;-24;-17;-3;4;6;8;51;32;21;30;3;22;13;20;6;-6;-6;32.0;-5;-4;-4;-4;48;121;67;19;8;-25;-25;-21;-6;31;29;32;59;36;21;7;3;47;27;24;18;12;30;46;25;42;22;13;7;-10;-3;-4;3;68;23;44;28;17;27;22;12;56;29;-31;58;35.0;38.0;0;12:00:00;0;NEW;SOU
WAT X HUD 2018-10-27;399 (80%);366 (78%);16;12;52%;48%;0;1;0;3;2;0;13;23;3;3;0;2;5/13 (38%);2/7 (29%);14;13;10/15 (67%);10/23 (43%);61;52;13;9;3;7;1;0;27;9;36/70 (51%);31/61 (51%);3;3;498;467;;;9;8;4;6;7;6;4;4;18/26 (69%);11/19 (58%);13;12;2;1;0;2018-10-27;3;-13;71;40;23;11;-11;10;5;7;8;-6;70;26;7;-30;20;-5;-10;-9;-7;-41;-19;-29;-13;33;10;-14;9;-3;-1;-7;-53;-16;-27;-19;-9;-30;-10;-2;-4.0;5;1;4;43;-3;22;35;24;17;-16;-13;34;10;-12;-8;-7;36;34;10;-39;-26;-23;-11;15;3;-14;-67;-30;-11;-3;4;-8;-13;-7;-4;-13;10;-52;3;62;36;23;-35;-11;12;1;-1;2;-27;-14.0;37.0;3;12:00:00;1;HUD;WAT
LEI X WES 2018-10-27;227 (69%);457 (83%);9;23;36%;64%;1;3;2;3;2;3;47;6;0;8;;;2/6 (33%);9/45 (20%);9;14;10/17 (59%);14/21 (67%);56;57;5;17;7;2;1;1;15;14;20/75 (27%);36/59 (61%);1;7;327;552;1;0;8;13;6;11;3;7;3;8;8/21 (37%);10/16 (63%);11;21;1;1;1;2018-10-27;2;33;29;35;-48;-2;8;2;-8;-8;-13;10;-16;-54;-33;-21;-37;-20;-7;-5;-10;-27;7;-19;-86;-48;31;14;11;14;15;9;18;18;24;37;78;50;32;52;56.0;28;29;19;17;40;16;42;20;7;10;56;46;36;51;15;62;18;18;16;65;42;84;60;84;48;48;35;27;39;24;57;52;45;46;31;19;21;51;8;2;-11;6;29;35;32;-28;16;19;32;88.0;55.0;1;14:30:00;0;WES;LEI
BUR X CHE 2018-10-28;720 (90%);266 (82%);18;11;70%;30%;3;0;5;0;7;2;23;14;4;4;;;3/8 (38%);2/23 (9%);8;4;11/16 (69%);4/9 (44%);52;35;10;14;1;4;2;0;5;12;34/52 (65%);32/56 (57%);0;5;796;325;;;17;4;9;4;8;1;7;3;5/9 (56%);5/13 (38%);24;7;2;4;4;2018-10-28;10;2;-3;15;-80;-48;-33;-26;-13;-16;-13;39;-6;29;-19;-60;44;1;-8;-13;-40;-36;38;-27;-15;-26;-20;-17;-16;-28;-18;-38;-33;27;-24;-18;-15;-26;-63;12;-9.0;-7;-3;-6;-6;21;20;30;23;13;11;15;1;-75;-45;-17;46;-15;-13;-8;-88;-55;-32;-19;-6;-5;24;21;5;-6;-1;-1;-1;-1;20;36;-26;23;20;6;-6;-9;-1;-8;-16;-13;-33;-7;-4;8;-4.0;-91.0;0;11:30:00;-1;CHE;BUR
CRY X ARS 2018-10-28;463 (83%);311 (78%);17;13;58%;42%;0;1;1;3;2;2;33;9;4;6;;;1/10 (10%);1/15 (7%);17;17;7/12 (58%);10/18 (56%);58;60;16;10;1;0;0;2;14;14;23/45 (51%);22/54 (41%);0;2;555;399;;;4;9;3;11;2;3;3;7;12/25 (48%);11/22 (50%);7;16;2;1;2;2018-10-28;-2;-6;3;7;-2;-26;-15;34;22;49;29;8;23;39;17;-33;-24;-30;-19;34;17;34;8;29;17;13;-8;-5;-25;-14;-14;-15;-14;1;-4;-8;-10;-11;-14;24;43.0;-7;-8;-3;2;1;1;-25;-74;-48;40;-9;-23;-61;-36;32;1;4;-10;-1;6;23;19;18;38;61;53;-7;74;43;24;11;22;-28;-2;6;16;36;36;53;49;33;62;35;19;11;7;52;33;6;-2.0;-20.0;2;11:30:00;0;ARS;CRY
MUN X EVE 2018-10-28;332 (80%);391 (80%);8;15;47%;53%;1;3;2;4;1;1;24;10;4;8;0;2;4/20 (20%);2/17 (12%);8;12;11/18 (61%);4/8 (50%);50;46;12;15;8;5;;;8;7;21/44 (48%);30/59 (51%);0;7;413;486;;;9;8;7;3;6;10;5;6;7/16 (44%);9/15 (60%);14;14;1;2;1;2018-10-28;11;1;3;1;1;-19;-54;-30;-22;14;15;2;36;16;-11;36;49;30;21;16;97;54;27;33;24;13;30;10;41;56;29;-24;23;11;12;4;2;7;-5;-38;-48.0;-23;-62;-38;-16;-13;72;41;-31;-1;8;43;27;22;65;36;-25;6;3;-5;-7;-25;-21;-8;-13;-35;26;22;1;30;-21;12;9;10;28;6;-44;-25;-3;-16;-1;6;-16;-9;-10;-11;-15;-13;-14;-1;25.0;-9.0;2;14:00:00;1;EVE;MUN
TOT X MCI 2018-10-29;429 (83%);382 (80%);11;12;52%;48%;1;1;2;1;5;0;22;20;6;3;0;1;1/12 (8%);2/13 (15%);7;9;13/23 (57%);7/10 (70%);47;48;13;13;1;4;1;0;14;7;24/63 (38%);39/73 (53%);4;4;514;476;;;10;3;2;3;6;1;3;1;6/12 (50%);7/17 (41%);13;4;2;2;1;2018-10-29;5;45;27;10;-35;-12;-20;-28;-37;-22;-16;4;-12;-3;-12;-1;5;-6;-2;-5;-6;-10;2;-70;-50;-27;-14;-7;4;-3;-4;-57;-42;1;-8;24;-22;-12;-10;-35;-6.0;5;2;2;-16;-16;-7;-4;12;-14;-4;-19;-73;-75;-43;-24;-14;-13;5;19;11;13;10;-26;-37;-16;-1;-71;4;36;23;17;35;47;25;19;10;3;-69;20;17;9;38;25;16;-13;3;8;11;-35;-1.0;20.0;0;18:00:00;-1;MCI;TOT
BOU X MUN 2018-11-03;356 (80%);317 (77%);23;15;52%;48%;4;1;6;2;4;8;29;34;5;9;;;0/13 (0%);5/23 (22%);8;6;6/18 (33%);4/15 (27%);57;49;12;12;6;4;1;0;5;7;30/68 (44%);22/53 (42%);5;0;447;412;;;13;12;6;3;8;7;5;6;9/17 (53%);10/20 (50%);18;18;3;4;2;2018-11-03;-15;-16;60;92;56;39;71;43;31;19;12;-9;6;5;4;1;34;27;23;34;19;8;-6;15;3;-12;-16;21;-17;-62;-36;-14;-15;7;-25;-11;-3;56;29;20;5.0;-3;-4;-4;-6;16;-1;35;42;44;18;-71;-42;-22;-9;-9;-27;-6;-85;-51;-34;-24;-35;-82;-69;-36;-36;-22;31;-26;-24;-34;-29;-20;-12;47;41;-41;27;-14;-22;30;-13;-2;5;-4;-13;-1;-8;-25;-22.0;-34.0;1;10:30:00;-1;MUN;BOU
CAR X LEI 2018-11-03;305 (76%);166 (61%);35;32;60%;40%;4;1;5;1;4;1;38;27;12;6;1;0;7/27 (26%);6/18 (33%);5;5;5/13 (38%);4/10 (40%);63;60;12;13;2;3;1;1;10;16;24/55 (44%);17/66 (26%);3;4;403;271;;;10;8;4;8;5;2;3;3;6/11 (55%);7/13 (54%);13;11;2;2;1;2018-11-03;-4;14;21;11;4;1;5;-4;-2;9;-6;-1;-6;-5;-9;12;34;21;13;11;43;24;-19;15;26;-45;-31;-19;-22;-20;-71;-54;-34;-10;-33;-68;-35;-26;-25;7;-62.0;-75;-42;-44;-26;25;42;24;22;41;22;10;-49;-26;-17;-20;17;-12;-11;-4;-2;11;46;40;52;49;65;8;41;28;15;-23;-46;-21;22;66;45;25;6;4;-2;-9;-9;-28;-11;8;-6;5;-74;26;-48.0;34.0;0;13:00:00;-1;LEI;CAR
EVE X BHA 2018-11-03;215 (68%);408 (83%);17;24;39%;61%;0;4;1;5;2;2;30;15;4;6;;;2/11 (18%);5/34 (15%);12;12;6/12 (50%);10/14 (71%);48;66;17;9;0;2;0;1;10;12;30/69 (43%);24/49 (49%);2;2;315;491;;;3;11;0;9;3;3;2;3;8/16 (50%);12/18 (67%);5;14;1;0;1;2018-11-03;-9;7;11;33;25;42;24;13;4;28;43;-4;19;21;51;26;11;15;49;30;23;18;-2;15;55;100;35;-52;-14;-10;-22;12;5;1;1;1;1;35;-30;-29;-8.0;4;3;33;61;1;42;88;45;16;-9;6;6;7;60;63;49;42;58;54;29;26;15;4;8;15;32;22;13;13;9;6;3;4;53;33;87;51;18;20;7;10;7;3;8;13;-10;-47;-21;8;7.0;20.0;3;13:00:00;1;BHA;EVE
NEW X WAT 2018-11-03;359 (79%);221 (68%);34;25;59%;41%;5;0;5;1;5;4;35;29;9;8;1;0;4/20 (20%);5/19 (26%);12;8;3/11 (27%);8/8 (100%);56;62;11;12;1;1;1;0;11;14;34/65 (52%);23/69 (33%);2;4;452;326;;;14;4;10;4;1;2;2;6;3/8 (38%);14/20 (70%);16;10;5;1;0;2018-11-03;-2;9;6;14;-22;-39;-30;-35;-32;-39;-10;11;51;28;26;17;-25;-15;12;20;14;11;22;4;-3;-4;-7;-9;-24;-41;-27;-20;16;-28;23;11;1;-24;-32;-49;-54.0;-14;20;31;32;-16;9;-25;29;45;19;-37;-17;-17;-21;-7;-49;13;11;58;40;38;21;60;28;10;41;-28;25;-11;-4;23;7;1;-11;-7;-7;-16;30;-12;-10;-9;-9;-38;-25;-16;-7;-10;-32;-8;-8.0;-40.0;1;13:00:00;1;WAT;NEW
WES X BUR 2018-11-03;197 (63%);425 (81%);28;15;38%;62%;1;2;2;5;2;6;35;27;4;10;;;2/9 (22%);2/15 (13%);11;5;5/8 (63%);13/27 (48%);59;51;9;7;5;1;1;1;7;7;34/84 (40%);18/49 (37%);2;2;311;525;;;4;13;1;6;3;10;2;9;14/19 (74%);7/14 (50%);6;22;4;1;2;2018-11-03;12;15;81;48;22;21;45;24;17;10;7;2;26;77;42;21;-13;-23;-64;-36;-23;-11;-13;-3;35;27;71;68;44;22;27;16;64;-3;44;33;19;18;69;2;3.0;10;7;6;47;-1;58;33;19;11;2;8;74;44;25;14;27;15;14;14;13;40;34;23;4;-3;56;21;36;31;29;26;6;-11;-10;-32;-94;-71;19;-5;13;18;17;72;36;-30;-7;8;36;16;21.0;20.0;4;13:00:00;1;BUR;WES
ARS X LIV 2018-11-03;276 (78%);501 (85%);12;15;39%;61%;2;2;2;2;4;3;29;28;8;5;;;3/16 (19%);5/16 (31%);13;7;13/20 (65%);5/11 (45%);44;47;7;7;3;3;2;0;8;12;27/61 (44%);28/50 (56%);1;7;356;586;;;10;9;5;5;4;4;3;3;10/13 (77%);11/20 (55%);13;12;1;1;1;2018-11-03;4;-43;-29;-20;-41;-32;30;46;56;33;18;8;5;-1;-2;-3;-99;-61;-22;-7;14;19;16;19;31;23;35;29;21;22;22;11;39;26;50;54;48;28;-30;-14;-27.0;-60;-37;-23;-15;18;-17;-12;9;3;12;16;7;1;21;15;22;11;49;-67;-9;66;39;24;23;25;9;13;-41;-19;-13;-8;-89;-73;-39;-18;-6;5;-26;30;25;18;57;10;15;23;15;34;24;-12;11.0;9.0;1;15:30:00;0;LIV;ARS
WOL X TOT 2018-11-03;417 (83%);374 (82%);7;11;52%;48%;1;1;3;3;1;5;23;7;1;5;;;4/7 (57%);6/25 (24%);12;11;11/21 (52%);15/25 (60%);48;56;8;11;5;5;;;7;9;18/50 (35%);60/93 (65%);3;5;505;458;;;7;8;1;4;8;7;3;8;12/21 (57%);12/22 (55%);10;16;2;1;3;2018-11-03;-10;-12;12;8;40;24;11;3;-4;-10;-12;-9;-16;-40;-19;-3;20;2;9;-6;-62;-44;-9;-31;-94;-61;-36;-46;-25;-15;-6;9;6;5;26;35;55;32;19;15;5.0;22;20;6;5;5;7;78;100;60;36;29;14;13;-9;-10;8;7;22;-68;-54;-39;-27;-31;-66;-23;41;13;21;17;14;33;-29;-4;39;23;32;83;-8;59;74;51;42;24;17;9;17;17;-10;-7;-1.0;23.0;2;17:45:00;-1;TOT;WOL
MCI X SOU 2018-11-04;269 (79%);664 (91%);11;16;33%;67%;2;1;3;3;2;5;19;17;4;4;0;2;8/20 (40%);5/12 (42%);5;12;6/13 (46%);15/22 (68%);48;52;9;14;3;5;0;1;14;11;33/61 (54%);21/35 (60%);1;1;341;729;;;9;13;5;5;6;8;4;5;6/19 (32%);7/12 (58%);13;18;1;1;1;2018-11-04;-16;17;28;24;85;55;36;30;25;51;95;-3;62;29;-26;-48;-31;-15;16;-8;-8;-39;7;-77;-19;17;20;13;10;2;8;26;16;9;7;9;9;9;-8;5;32.0;2;17;13;3;34;2;1;-66;-39;24;-21;-45;-12;37;16;78;6;7;27;6;-6;2;-34;74;31;18;43;34;15;-16;-20;-12;-7;19;8;10;13;30;15;15;36;-47;-26;-34;-14;14;-22;-11;20;-4.0;38.0;6;13:00:00;1;SOU;MCI
CHE X CRY 2018-11-04;242 (77%);799 (90%);12;13;27%;73%;0;2;0;3;3;4;16;11;2;4;0;1;0/5 (0%);5/17 (29%);14;14;12/19 (63%);13/20 (65%);50;58;13;6;3;1;;;19;2;28/65 (43%);40/53 (75%);1;6;313;883;;;4;9;2;5;2;6;3;6;8/21 (38%);12/21 (57%);7;15;1;0;1;2018-11-04;2;16;16;16;50;11;13;15;7;2;5;7;-17;-5;-14;-3;6;8;22;19;28;33;-5;76;55;93;61;36;27;25;37;38;32;38;54;38;26;50;40;18;6.0;1;1;1;-2;24;-5;-1;3;2;-42;-20;-9;8;3;8;21;41;17;21;100;68;61;93;61;44;29;19;18;61;29;19;22;14;1;-43;-20;-5;19;40;33;28;19;18;5;5;5;8;6;15;10.0;30.0;3;14:00:00;1;CRY;CHE
HUD X FUL 2018-11-05;350 (71%);261 (67%);27;27;55%;45%;;;;;4;2;17;10;4;5;0;1;4/7 (57%);3/26 (12%);11;13;13/27 (48%);5/9 (56%);67;64;8;11;2;1;0;1;7;25;29/83 (35%);38/73 (52%);6;3;490;387;;;7;5;3;6;1;2;1;5;11/17 (65%);20/25 (80%);8;10;2;1;0;2018-11-05;12;33;19;18;14;13;11;50;17;14;1;14;-7;-13;11;-2;7;7;7;6;23;80;14;100;70;44;42;21;13;2;-7;-12;-11;11;11;5;18;23;-22;-8;30.0;-11;-28;-23;24;11;3;-3;-3;5;-55;-39;-48;-29;-54;-27;9;-15;16;5;6;-20;-9;-6;10;41;26;35;12;3;-2;-2;1;-1;1;10;19;-33;21;-16;-14;-13;-17;-14;-20;-51;-30;-18;-5;48;4.0;37.0;1;18:00:00;1;FUL;HUD
CAR X BHA 2018-11-10;202 (64%);362 (77%);39;30;40%;60%;;;1;2;2;5;36;7;1;4;;;2/5 (40%);2/20 (10%);8;9;10/14 (71%);7/12 (58%);69;68;21;7;3;2;0;3;9;9;25/82 (30%);20/65 (31%);;;315;472;1;0;4;9;2;9;3;6;3;11;9/14 (64%);7/12 (58%);7;20;1;2;1;2018-11-10;19;17;3;4;-2;4;-5;-6;-37;27;-6;4;-1;1;2;18;21;16;14;-18;24;18;-5;12;37;19;8;25;16;4;15;13;29;1;19;12;5;1;2;18;25.0;11;6;8;11;1;27;20;16;13;32;24;31;21;16;11;9;37;54;43;47;35;50;50;47;41;28;-66;28;14;-19;-5;6;4;15;15;13;26;-15;19;14;36;-49;24;4;18;21;44;59;-11;90.0;20.0;2;10:30:00;1;BHA;CAR
HUD X WES 2018-11-10;345 (77%);257 (73%);14;31;57%;43%;3;2;3;2;3;1;22;26;6;5;1;0;3/20 (15%);3/16 (19%);14;12;11/15 (73%);5/11 (45%);52;62;8;9;6;2;0;2;10;10;31/70 (44%);28/62 (45%);3;7;448;354;;;8;6;4;7;5;7;4;9;12/18 (67%);12/18 (67%);12;15;1;1;1;2018-11-10;-2;39;20;13;9;7;27;18;41;50;24;12;13;-8;-10;-10;-10;-9;-7;-37;49;18;29;13;9;10;21;10;-14;-15;-5;-17;-11;26;-1;2;-2;-2;-1;-2;-41.0;10;3;-4;-59;-53;-38;-35;-23;-16;-8;-7;14;9;-6;-30;25;-18;-34;-19;-4;-5;-3;57;15;11;8;65;33;15;-22;19;7;-104;-60;-1;-15;-39;40;-50;-50;-9;12;17;14;30;20;43;17;30;-2.0;45.0;1;13:00:00;0;WES;HUD
LEI X BUR 2018-11-10;189 (63%);377 (79%);26;30;37%;63%;0;2;0;2;2;8;36;17;1;12;0;1;4/11 (36%);10/42 (24%);9;3;4/8 (50%);9/15 (60%);51;61;10;13;4;1;0;1;7;7;28/67 (42%);29/65 (45%);2;1;298;479;;;3;13;3;9;1;5;3;9;5/9 (56%);7/13 (54%);6;22;0;2;0;2018-11-10;4;60;52;45;27;42;81;93;43;8;-39;-3;-20;-1;2;16;19;23;25;22;46;26;-6;16;10;23;12;12;14;13;20;8;-6;-4;-45;-27;-18;-15;-8;-2;34.0;-44;-28;-19;-37;8;29;-13;5;4;9;24;24;19;8;37;6;14;8;8;100;100;53;29;23;25;18;19;32;17;13;-18;-5;-1;-13;-8;-28;-2;88;19;18;14;8;10;12;9;36;32;29;84;19.0;33.0;0;13:00:00;0;BUR;LEI
NEW X BOU 2018-11-10;401 (79%);222 (69%);22;25;61%;39%;3;3;3;5;5;4;40;33;10;7;1;1;7/22 (32%);6/22 (27%);11;9;5/12 (42%);8/17 (47%);54;62;11;9;5;3;;;10;15;20/39 (51%);35/73 (48%);2;2;505;323;;;10;13;5;8;4;6;4;5;10/18 (56%);14/18 (78%);14;18;1;2;1;2018-11-10;-8;53;78;38;17;7;46;8;-36;-41;-24;-7;-43;-21;-29;-18;-14;-9;-8;-2;-4;-5;-12;-5;-6;-6;-6;-50;-37;-27;-6;-2;15;-7;81;64;64;39;23;2;-52.0;21;75;44;23;18;9;-4;-7;-8;-67;-17;-18;-46;-7;9;15;-33;-1;-9;-11;24;41;18;8;-38;-23;73;-28;-10;-8;-4;-34;-27;-21;-18;-30;-20;80;-32;-20;52;43;23;-21;-50;-24;-17;-38;52;27.0;21.0;2;13:00:00;1;BOU;NEW
SOU X WAT 2018-11-10;302 (72%);210 (69%);20;24;58%;42%;2;1;2;2;3;4;16;37;6;7;;;2/17 (12%);3/17 (18%);15;6;5/7 (71%);9/14 (64%);48;62;13;13;3;5;;;8;19;30/60 (50%);20/66 (30%);4;4;420;305;;;8;7;3;6;6;4;4;7;7/11 (64%);11/17 (65%);12;14;2;3;1;2018-11-10;3;-31;-23;-11;-3;3;4;16;8;7;37;4;100;91;54;27;16;6;4;12;2;-6;8;-11;-12;-45;-20;-14;16;-36;-11;-1;45;4;30;15;1;-13;-15;-25;56.0;-2;-6;-9;-10;-31;-10;-12;-38;-21;-15;-41;-27;-17;-26;-66;-16;-37;-44;-8;31;19;15;35;45;11;1;-10;-1;-11;-11;13;4;51;27;-32;-32;-19;-22;-20;-13;-12;-86;-50;-57;-78;-43;-20;-26;-16;-37.0;-12.0;1;13:00:00;0;WAT;SOU
CRY X TOT 2018-11-10;484 (83%);203 (66%);10;19;65%;35%;1;1;2;1;3;1;32;25;6;10;1;0;6/23 (26%);3/24 (13%);9;7;8/19 (42%);7/18 (39%);47;54;9;12;5;1;;;11;18;33/64 (52%);23/63 (37%);1;4;581;306;;;8;8;6;5;2;5;3;3;10/18 (56%);12/20 (60%);11;11;1;1;1;2018-11-10;8;-10;-12;-36;41;36;28;57;60;61;29;8;8;-17;17;4;31;15;7;-46;-79;-50;7;-31;-78;-50;-33;-21;-16;-8;-7;-32;-22;4;18;-6;-60;-30;18;-4;-18.0;-7;-8;-4;-4;-4;24;37;18;20;17;24;-50;-24;-72;-49;-5;-33;-23;-17;-9;-8;-2;-53;-45;-31;-20;7;60;26;14;6;1;-5;-5;-5;-8;-6;-8;11;3;32;20;31;60;55;46;39;37;-11;16.0;7.0;0;15:30:00;-1;TOT;CRY
LIV X FUL 2018-11-11;186 (71%);631 (87%);10;11;27%;73%;1;2;1;4;1;7;32;13;3;6;1;0;0/11 (0%);4/20 (20%);13;10;7/12 (58%);9/14 (64%);42;44;9;11;5;3;;;14;8;21/53 (40%);37/65 (57%);5;2;263;725;;;3;10;4;7;3;7;5;11;8/15 (53%);11/18 (61%);8;21;1;1;0;2018-11-11;-12;8;-23;-9;16;12;14;27;54;36;34;-4;75;48;36;56;39;14;11;10;33;24;-15;-35;25;21;10;-14;-4;28;38;21;17;-7;16;-27;59;24;-25;10;-36.0;-4;12;3;9;28;21;24;16;15;100;67;43;62;68;50;16;28;19;17;43;40;26;21;37;25;19;16;18;45;31;23;38;31;21;37;15;11;18;2;26;14;6;-23;-26;-19;-5;7;33;12;5.0;25.0;2;10:00:00;1;FUL;LIV
CHE X EVE 2018-11-11;233 (75%);615 (89%);18;12;32%;68%;1;3;1;3;2;4;21;13;5;5;;;5/10 (50%);3/16 (19%);10;16;8/17 (47%);8/13 (62%);54;50;11;7;4;1;0;1;14;4;25/55 (45%);22/49 (45%);7;5;309;688;;;2;7;3;7;1;4;4;8;11/21 (52%);11/19 (58%);6;15;3;4;0;2018-11-11;-10;7;14;-40;-14;-4;-2;7;18;12;50;-5;31;27;21;13;24;15;9;6;14;8;-31;10;-25;-13;-9;6;15;21;22;15;9;-41;12;51;43;63;31;6;-7.0;38;32;37;29;-26;12;-16;9;14;7;6;-6;-62;-32;-13;-25;42;17;93;81;100;69;66;41;29;18;-9;23;17;36;52;38;58;32;21;13;9;7;7;-27;-24;21;7;4;9;11;9;4;14;5.0;17.0;0;12:15:00;0;EVE;CHE
